Organisation,Name of Project,Project Description,Link,Category,Region,Language,Ongoing/completed,Photo/Pic,project-slug,notNetwork
OKF Germany,Prototype Fund,The Prototype Fund supports socially relevant software projects and increases their sustainable impact by open sourcing as a principle. In short: We support Public Interest Tech.,https://prototypefund.de/,"Civic Tech, Data Literacy",Germany,German,Ongoing,OK_LG_LOGO_GERMANY_RGB.svg,prototype_fund,
OKF Germany,Frag den Staat,The Frag den Staat ('Ask The Government') portal enables interested citizens to request information from a variety of public sector organisations by making a Freedom of Information (FOI) request.,https://fragdenstaat.de/,"Freedom of Information, Open Government Data, Open Data, Transparency",Germany,German,Ongoing,OK_LG_LOGO_GERMANY_RGB.svg,frag_den_staat,
OKF Greece,OpEnergy,"An online platform designed to promote a single transparent energy market and to contribute to overseeing the objectives set by the European Union in this field. It also provides visualizations, statistical and comparative analysis, as well as forecasts for the energy market and the energy balance of both the European Union as a whole and its member states. The OpEnergy platform was among the Finalists at the European Commission's EU Datathon 2017 competition.",http://openergy.okfn.gr/#/pages/eu2020-targets,Open Climate,Greece,English,Ongoing,OK_LG_LOGO_GREECE_RGB.png,openergy,
OKF Greece,Open Budgets,"An online platform to support local authorities to implement and compile open and participatory budgets with a single structure and features designed for all citizens, the media, non-government organizations and the local authorities themselves.",https://openbudgets.eu/,"Fiscal Transparency, Open Government Data",Greece,English,Ongoing,OK_LG_LOGO_GREECE_RGB.png,open_budgets,
OKF Greece,Non-profits & Media advocating for good!,"Τhe project “Non-profits & Media advocating for good!” aims to strengthen civil society advocacy and watchdog role in Greece. To achieve that, the project offers a framework of experiential training & collaboration, benefitting 32 media representatives and 32 non-profits’ staff in 4 cities of Greece, which will be selected based on the fact that they have both vibrant NPO communities and media as well as significant social issues, in order to co-create and implement together advocacy activities.

The project “Non-profits & Media advocating for good!” is being implemented under the Active citizens fund in Greece by HIGGS (Project Promoter) and its partners, the Aristotle University of Thessaloniki, Open Knowledge Foundation Greece and Journalism Initiative.",https://advocatingforgood.gr/en/archiki-english/,,Greece,"English, Greek",Ongoing,OK_LG_LOGO_GREECE_RGB.png,non_profits_media_advocating_for_good,
OKF Greece,National Library of Greece Linked Open Data,"By publishing the bibliographic data of the library under the Principles of Linked Data, the Library enters the world of the Web of Data, offering Semantic Web services to library users. ",https://data.nlg.gr/,Open Linked Data,Greece,Greek,Ongoing,OK_LG_LOGO_GREECE_RGB.png,national_library_of_greece_linked_open_data,
OKF Greece,Entice,"ENTICE aims to use co-creative methodologies in order to build a solid creation pipeline for medical experiential content bringing together a network of academics, medical educators and industrial content creators. These stakeholders will develop, evaluate and proliferate edu-centric immersive learning resources and tools aiming to support well-defined learning objectives using tangible and intangible resources (AR/VR/MR, 3D printing) that are highly sought after in the fields of anatomy and surgery.",https://entice.eu/,"Open Health, Open Education",Greece,English,Ongoing,OK_LG_LOGO_GREECE_RGB.png,entice,
OKF Greece,Risk Open Data Portal,A catalog of geospatial risk data in order to strengthen the Resilience of Municipality of Thessaloniki.,http://riskdata.thessaloniki.gr/,Open Mapping,Greece,English,Ongoing,OK_LG_LOGO_GREECE_RGB.png,risk_open_data_portal,
OKF Greece,Traffic Status Prediction,"An online platform which predicts the traffic status on the roads of Thessaloniki. The application contains machine learning techniques, using statistical data analysis of time, speed and traffic to train a neural network, to predict the average speed effectively in the streets. Artificial neural networks have been used due to the amount and nature of the data. The project was carried out in the framework of the implementation of the BigDataEurope project by HIT in cooperation with OK Greece.",https://trafficstatusprediction.imet.gr/,"Open Transport, Civic Tech",Greece,English,Ongoing,OK_LG_LOGO_GREECE_RGB.png,traffic_status_prediction,
OKF Japan,Open Spending Japan,,,"Fiscal Transparency, Open Government Data",Japan,Japanese,Ongoing,OK_LG_LOGO_JAPAN_RGB.png,open_spending_japan,
OKF Japan,MyData Japan,,https://mydatajapan.org/,Privacy,Japan,Japanese,Ongoing,OK_LG_LOGO_JAPAN_RGB.png,mydata_japan,
OKF Nepal,Open Data Nepal,"Open Data Nepal is a civil society initiative to make Nepal’s data accessible online perpetually. The portal allows users to publish, explore, download and use data to make their own visualisations, apps and services without any restriction.",https://opendatanepal.com/,Open Data,Nepal,English,Ongoing,OKnp-logo.svg,open_data_nepal,
OKF Nepal,AskNepal,"A collaborative project of Open Knowledge Nepal and Code for Nepal, AskNepal helps access information about local government, central government, parliament, state-funded schools, universities, hospitals and other public authorities.",https://asknepal.info/en,"Freedom of Information, Open Government Data, Open Data, Transparency",Nepal,"English, Nepali",Ongoing,OKnp-logo.svg,asknepal,
OKF Nepal,Open Data Awareness Program,"Open Data Awareness Program aims to raise awareness about the concept and usage of open data to Nepal’s digital natives, who are potential future decision-makers in government, civil society, and the private sector.",http://odap.oknp.org/,"Open Data, Data Literacy",Nepal,English,Ongoing,OKnp-logo.svg,open_data_awareness_program,
OKF Nepal,Open Data Handbook Nepali Version,"Translation version of the international Open Data Handbook which helps Government policy makers, leaders and common citizens to understand Data in their Native language easily.",http://handbook.oknp.org/,"Open Data, Data Literacy",Nepal,Nepali,Ongoing,OKnp-logo.svg,open_data_handbook_nepali_version,
OKF Nepal,Local Boundaries,"Local Boundaries brings the detailed geodata of administrative units or maps of all administrative boundary defined by Nepal Government, in open and reusable format, free of cost.",http://localboundries.oknp.org/,Geo Data,Nepal,English,Ongoing,OKnp-logo.svg,local_boundaries,
OKF Nepal,Data Fellowship,Fellowship aims to assist municipal bodies in getting the data digitized and better used for decision-making. It offers the opportunity to work closely with various personnel in municipalities and other stakeholders.,https://fellowship.oknp.org/,"Open Data, Open Government Data",Nepal,English,Ongoing,OKnp-logo.svg,data_fellowship,
OKF Nepal,Women in Data,Women in Data Steering Committee work together to identify possible existing problems targeted around women and the scope of area in today’s society.,https://womenindatanepal.org/,Gender Data,Nepal,English,Ongoing,OKnp-logo.svg,women_in_data,
OKF Nepal,OSM Hackfest,OSM Hackfest 2022 is a national competition where participants build solutions using OpenStreetMap other open data and open technologies for public good.,https://osmhackfest.github.io/,Geo Data,Nepal,English,Ongoing,OKnp-logo.svg,osm_hackfest,
OKF Nepal,Climate Knowledge Portal,"Climate Knowledge Portal aims to centralize the datasets, resources, insights, stakeholders, and more related to climate change in Nepal.",https://climate.oknp.org/,"Climate Data, Open Data",Nepal,English,Ongoing,OKnp-logo.svg,climate_knowledge_portal,
OKF Nepal,Integrated Data Management System,IDMS brings the data generated by the various departments and systems of the municipal office in the central hub.,https://data.tulsipurmun.gov.np/,"Open Government Data, Open Data",Nepal,"English, Nepali",Ongoing,OKnp-logo.svg,integrated_data_management_system,
OKF Sweden,OPENCIT,"Open Cities for EU Citizens aimed to raise awareness of the rights of foreign EU citizens and facilitate their participation in political life of their host country. The project payed particular attention to the right of mobile EU citizens to vote and stand in local elections, and to allow them to actively engage in local decision-making processes by using digital technologies.",https://myvoice.group/en/project/opencit-en/,Civic Tech,"Sweden, Latvia","English, Latvian",Completed,landscape-oksv.png,opencit,
OKF Sweden,Open Up!,Open Up! was a project by Open Knowledge Sweden and DIGG which helped public sector bodies to publish more data about procurement and other organizations to reuse it.,https://okfn.se/engagera-dig/projekt/openup/,"Open Government Data, Fiscal Transparency",Sweden,"Swedish, English",Completed,landscape-oksv.png,open_up,
OKF Sweden,MobileCit,"The project supports and encourages democractic participation (in and in between elections) of mobile citizens, i.e. EU
nationals residing in another European country. A practical tool will be developed: (the Open2Vote platform) for EU mobile citizensto learn about their rights and opportunities as well as practically engage in deliberation processes (expressing their opinions and attitudes on important topics through voting). The project is carried out with the NGO My Voice in Latvia, EuropeansThroughout The World, and the ECIT Foundation. ",.,Civic Tech,"Latvia, Belgium, Sweden","Swedish, English",Ongoing,landscape-oksv.png,mobilecit,
OKF Sweden,Journalists’ Access to Public Information [...],"Policy Study. The aim of study is to assess and compare the ATI policies and self-regulation mechanisms of journalists in Estonia, Latvia and Lithuania, in particular evaluating the effectiveness of ATI policies and how this affects journalists’ ability to carry out their work.",.,Freedom of Information,"Latvia, Estonia, Lithuania",English ,Ongoing,landscape-oksv.png,journalists_access_to_public_information,
OKF Sweden,Handlingar.se,Open Knowledge Sweden has also developed and launched the first Freedom of Information website in Sweden.,https://handlingar.se/,"Freedom of Information, Open Government Data",Sweden,"Swedish, English",Ongoing,landscape-oksv.png,handlingar_se,
Opendata.ch (Switzerland),Data Café,"An awareness campaign to promote understanding of the value of data and help people to understand, protect and use data. Many people are not aware of the value, opportunities and threats of collecting and analyzing data. This results in unconscious decision making and a lack of involvement in the public discourse on data governance. At the Data Café you can pay for your coffee with your personal data – a deal that you most likely make every day online. With this offer we reach people who are not inherently interested in the topic of data and promote a discussion and reflection on the value of data in our society. ",https://www.datacafe.ch/,Privacy,Switzerland,"French, German, English",Ongoing,opendata-logo.png,data_cafe,
Opendata.ch (Switzerland),Prototype Fund,We support people in solving societal problems and strengthening the public good in Switzerland with open source projects.,https://prototypefund.opendata.ch/,Civic Tech,Switzerland,"French, German, English",Ongoing,opendata-logo.png,prototype_fund,
Opendata.ch (Switzerland),Hackathons,"We bring together interdisciplinary teams to work on innovative, (open) data-driven solutions in a wide range of sectors.",https://opendata.ch/projects/hackathons/,"Civic Tech, Open Data, Open Farming, Open Climate",Switzerland,"French, German, English",Ongoing,opendata-logo.png,hackathons,
Opendata.ch (Switzerland),Sum of all (Swiss) GLAMs,Sum of all Swiss GLAMs aims to improve the information about heritage institutions on Wikidata and to promote the use of this information on Wikipedia and in other projects. ,https://glam.opendata.ch/sum-of-all-swiss-glams/,Open GLAM,Switzerland,"French, German, English",Ongoing,opendata-logo.png,sum_of_all_swiss_glams,
Fundapi - Ecuador,Open Data Index - Ecuador local governments,"The Open Data Index of Cities of Ecuador is a rating list prepared by Fundapi, which presents the state of the use and adoption of open data in the 100 municipalities with the largest population in the country.",https://datosabiertos.ec/,Open Government Data,Ecuador,Spanish,Ongoing,fundapi-logo.png,open_data_index_ecuador_local_governments,
Russia,Russian national digital archive,Digital preservation project dedecated to web archival of Russian and Russia-related digital resources,https://ruarxive.org/en/,Web Archive,Russia,"English, Russian",Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,russian_national_digital_archive,
Russia,Hub of data,Community open data portal,https://hubofdata.ru,Open Data,Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,hub_of_data,
Russia,Open NGO,Transparency portal and database that aggregates data about 750 000+ non-profit organizations in Russia,https://openngo.ru,Open Data,Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,open_ngo,
Russia,Clearspending: Procurement transparency portal,"Procurement transparency portal with datasets and web interface about 40 millions government contracts, customers, suppliers",https://clearspending.ru,"Transparency, Open Government Data",Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,clearspending_procurement_transparency_portal,
Russia,Plain Russian,Online service and open source tool to measure clarity of texts in Russian,https://plainrussian.ru,Transparency,Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,plain_russian,
Russia,Open Police: Police transparency project,Russian police transparency project with open data and clear language explanation of police actions and functions,https://openpolice.ru,"Transparency, Open Government Data",Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,open_police_police_transparency_project,
Russia,Privacy of government mobile apps research,Analysis of Russian government mobile apps for external trackers and permissions that these apps require,https://privacygosmobapps.infoculture.ru/,Privacy,Russia,Russian,Ongoing,OK_LG_LOGO_RUSSIA_RGB.png,privacy_of_government_mobile_apps_research,
OKF France,Ma Dada,The French FOI request website based on Alaveteli software,http://madada.fr/,"Freedom of Information, Open Government Data, Open Data, Transparency",France,French,Ongoing,OK_LG_LOGO_FRANCE_RGB.png,ma_dada,
Nook Studios,Making Open,"Making Open is a content design kit for advocates, civil society, and changemakers in government and businesses, and a set of interactive storytelling tools to make processes and data accessible for community audiences. The content design kit is for advocates and changemakers to simply and visually communicate the policies, data, and systems that need to be put in place and connected to transform governments and support integrity and public participation. Making Open will also be home to storytelling tools, learning and development courses, and a channel to connect global changemakers, helping them share designs, knowledge, and how to stories.",https://www.makingopen.org/,"Design, Open Government Data, Civic Tech ",Global ,English ,Ongoing ,Making-open.png,making_open,
OKF Nigeria,GovSpend,"A platform designed to open up Nigeria's actual expenditure, including beneficial owners and contracting.",https://www.govspend.ng/,"Fiscal Transparency, Open Government Data",Nigeria,English,Ongoing,OK_LG_LOGO_NIGERIA_RGB.png ,govspend,
CivicSight (Hong Kong),AccessInfo.hk,The Hong Kong FOI request website based on Alaveteli software.,https://accessinfo.hk/,"Freedom of Information, Open Government Data, Open Data, Transparency",Hong Kong,"English,Traditional Chinese",Ongoing,CivicSight-logo-Colourful-horizontal-768x170.png,accessinfo_hk,
Open History Map,Open History Map Data Index,Digital Humanities index of sources classified by data quality and data reliability to create an open map of the past,https://index.openhistorymap.org,Open Science,Italy,English,Ongoing,OHM-logo.png,open_history_map_data_index,
OKF Italy,Monithon,"Monithon is an independent and non-profit initiative that develops methods and tools for a participatory evaluation of public policies by local communities and the final beneficiaries of the interventions, offers specific training and support on public policy analysis, use of available data, and fieldwork investigation, facilitates the collaboration between governments and citizens through the co-production and co-assessment of services and policies by producing evidence and suggestions to improve the effectiveness of public policies on the ground.",https://www.monithon.eu/en/,"Civic Tech,Open Government Data,Transparency",Italy,"Italian, English",Ongoing,OK_LG_LOGO_ITALY_RGB.png,monithon,
CKAN,CKAN,"CKAN is open source software that provides a framework for establishing open data catalogues. It is used worldwide to make data findable, accessible, interoperable and reusable.",https://ckan.org/,Open Data,Global,English,Ongoing,CKAN-logo.png,ckan,
Dribdat,Dribdat,"An open source app to help organize short sprints and hackathons, used to document our activities with open licenses (Creative Commons), build on top of community best practices (School of Data pipeline), and spread good governance principles (Hack Code of Conduct). MIT licensed, based on Frictionless Data and Schema.org standards, dribdat bootstraps our data wrangling, automates event workflows (announce an event - publish challenges - form teams - develop projects) and supports our channels (social media sharing, digital signage, summary reports). Connect to ongoing event series powered by dribdat, support our Open Collective, and please don't hesitate to get in touch to get help plugging dribdat into your activism for Open Knowledge.",https://dribdat.cc,Civic Tech,Switzerland,"French, German, Italian, English",Ongoing,dribdat.png,dribdat,
Frictionless Data,Frictionless Data,"Frictionless Data is a progressive open-source framework for building data infrastructure – data management, data integration, data flows, etc. It includes various data standards and provides software to work with data.",https://frictionlessdata.io/,Open Data,Global,English,Ongoing,frictionless-color-full-logo.png,frictionless-data,
Rutgers,Garden State Open Data Index (GSODI),"This project has two components: 1) The GSODI report on open data concepts, open data + AI and policy recommendations and 2) The GSODI index portal. The Garden State Open Data Index (GSODI) 2023 report identifies concepts, strategies, principles, and policies to enhance the “availability, accessibility, usability and governance of open data.” The GSODI is a mechanism that presents an ‘integrated view’ and rich metadata on the information ecosystem in New Jersey and is globally extensible. The GSODI report provides recommendations for ‘improving the effectiveness and efficiency associated with open data initiatives’ by integrating metadata information on ‘open-data portals and open-data datasets in a cohesive manner’. The searchable GSODI portal is expected to ‘serve as a complementary and collaborative mechanism to existing open data infrastructure’ and does not intend to host datasets or in any way replace the many open data portals. Instead, it is expected to augment these open data portals and increase the findability of open data.",https://bloustein.rutgers.edu/opendata/,Open Data,United States,English,Ongoing,Rutgers-logo.png,garden_state_open_data_index,Y
Thinking Ahead ,dTeach – Decentralized Teaching Communities,"Decentralized teaching communities (dTeach) is an open and free educational content production platform aimed at teacher professional development.To this date, we have produced 11 dTeach Guides and published them online. The Guides cover different topics of interest (described below), ranging from democracy, conflict mediation and computational thinking. dTeach contributors develop digital content through a complex and collaborative process of elaboration, editing, revision, and constant improvement. Our community of authors, editors, designers, and other contributors work with a clear objective: To make relevant, critical, and in-depth educational content reach teachers in an accessible and open way. Our mission and long-term vision:•\tDecentralize the production, offer and access to open educational content.•\tFoster educational justice and the public education system by providing the highest quality and up-to-date teaching material.
The Guides are open and free to use. They are published under the Open Education Resource License, following the UNESCO OER movement.",https://www.dteach.org/,,Brazil,"Portuguese, English",Ongoing,dteach.png,dteach,Y
The Alan Turing Institute ,Colouring Cities research Programme,"The Colouring Cities Research Programme (CCRP) is designed to support open knowledge sharing and collation relating to building stocks, to address current knowledge fragmentation. It does this by developing open code for open databases/platforms designed to collate, generate, visualise, and improve the quality and availability of spatial data on stock composition, performance and dynamic behaviour . The CCRP is run by The Alan Turing Institute. It involves international academic institutions specialising in building stock research in co-developing and testing open platform code. We currently work in Australia, Bahrain, Britain, Colombia, Germany, Greece, Indonesia, Lebanon and Sweden. The CCRP tests a model that involves stakeholders from academia, government, industry, the third sector, and local communities in feature design, and in content quality and management, in each participating country. It tests integration of four data capture methods and feedback loops between these : moderated bulk upload of reliable open datasets; crowdsourcing of expert knowledge at building level; data streaming, and computational generation of large-scale datasets based on inference and typology rules. ",https://colouringlondon.org/,,Great Britain,English,Ongoing,the-alan-turing-institute.png,colouringlondon,Y
UTOPIX,Monitor de Femicidios de UTOPIX,"El Monitor de Femicidios de UTOPIX was born in Venezuela as a digital space for monitoring, collecting and analyzing cases of femicides/feminicides reported in national, regional, local and international digital media using the OSINT method (Open Source Intelligence), gathering public information to correlate the data and process it. The main motivation of this project is to generate information in the absence of official data from the Venezuelan State since 2016 on femicides/feminicides. Among the objectives of the Monitor is the creation of a sub-registry with data on femicides/feminicides in the country, to raise public awareness of this problem, to try to influence the development of public policies and to support the families of victims of femicides in the country and feminist organizations. To increase women's technological appropriation and empowerment capabilities in the defense of their rights against male violence and the silence of patriarchal society.",https://utopix.cc/,Open Data,Venezuela,Spanish,Ongoing,utopix-icon-header-100x100.png.webp,utopix,Y
Foundation for Public Code,Let's talk about public code,"Let’s talk about public code is a podcast with interviews of people working with public code codebases. We define ‘public code’ as open source software developed by public organizations, together with the policy and guidance needed for reuse. The podcast is produced by the Foundation for Public Code.",https://publiccode.net,,Netherlands,English,Ongoing,public-code.svg,publiccode,Y
YouthMappers,SMCoSE YouthMappers,"SMCoSE YouthMappers, a YouthMappers chapter at Sokoine University of Agriculture with a vision of cultivating a generation of young people to become leaders and empowering them to define their world by mapping it. SMCoSE YouthMappers have been addressing flash flood challenges in Morogoro region through the use of Geographical Citizen Science where non-professionals participate in scientific projects.SMCoSE Youth mappers have been using open-source technologies and collaborative mapping through a bottom-up approach, to enhance the availability, accessibility, and usability of updated data to inform decision makers for disaster preparedness and early warning response.",https://www.gwptoolbox.org/case-study/tanzania-youthmappers-enhancing-disaster-preparedness-and-early-warning-response,,Tanzania,"English, Swahili",Ongoing,youth-mappers.webp,smcose_youthmappers,Y
,Damegender,International Names Dataset done merging datasets from statistical institutions. This dataset has been built from the Damegender project (https://damegender.davidam.com). You can check mergeinterfiles.py and regenerate-inter-files.sh to understand how.,https://damegender.davidam.com/,,Argentina,"Spanish, English",Ongoing,genderequity.svg,damegenders,Y
OFDN,OpenSpeaks Voice: Odia Volume I,"OpenSpeaks Voice: Odia Volume I\"" is the first edition of an ever-growing speech data repository in the Odia language of India, containing 61,000 audio recordings. Published under a Public Domain release (CC0 1.0), this edition includes speech data of Subhashish Panigrahi, the creator and maintainer of the project, created using the Lingua Libre platform of Wikimedia France. As Wikimedian and Lingua Libre co-founder Hugo Lopez puts it, \""Odia is the second non-Western lexicon, the first non-national language, and the first Indian language to be methodically audio documented with such quality and breath\"". A DVD-ROM version of this version will be archived at the US Library of Congress, Washington D.C.Attribution:© 2022. Subhashish Panigrahi. \""OpenSpeaks Voice: Odia Volume I\"". ISBN: 978-81-958409-1-5.",https://theofdn.org/activities/before/,,India,Odia,Ongoing,OFDN_logo_bordered.png,openspeaks_voice_odia,Y
Liberate Science GmbH,ResearchEquals,"Make your research journey visible & accessible by publishing your research process, not just your research outcomes. Join a community of researchers building a new research movement: open access, collaborative, and process Driven.",https://www.researchequals.com,,Germany,English,Ongoing,research-equals.png,researchequals,Y
The Alan Turing Institute,The Turing Way,"The Turing Way is an open source and community-led project that aims to open up the potential of data science for everyone. Our project brings together a diverse community of researchers, educators, learners, administrators, and stakeholders from within The Alan Turing Institute, across the UK, and internationally. We have collectively written a web-based book with five guides on Reproducible Research, Project Design, Communication, Collaboration and Ethical Research, as well as a Community Handbook. We seek to provide all the information that researchers need at the start of their projects to ensure that they are conducting research that is ethical, inclusive and easy to reproduce at the end. ",https://the-turing-way.netlify.app/welcome,,Great Britain,"English, Spanish, Arabic, French, Portuguese, Japanese, Turkish",Ongoing,the-alan-turing-institute.png,theturingway,Y
Open Data Armenia,Open Data Catalog Armenia,"Open Data Catalog Armenia is a resource that publishes data collected from official websites and portals of state bodies, companies, NGOs, and scientific organizations of Armenia. The Open Data Catalog aims to provide access to data for their further use in scientific research, and the development of new products and services. The catalog is a CKAN instance.",https://data.opendata.am,"Open Data,Open Government Data",Armenia,"Armenian,English,Russian",Ongoing,open-data-armenia.png,open-data-catalog-armenia,
,Govdirectory,"Govdirectory is a crowdsourced and fact checked directory of official governmental online accounts and services. Our vision is a world where people are empowered to engage with their government to ensure responsive, inclusive, participatory and representative decision-making at all levels. Our mission is to enable a community-powered directory where the online presence of every public organization is easily findable, queryable and trustworthy.",https://www.govdirectory.org/,Open Government Data,Global,English,Ongoing,govdirectory.png,govdirectory,Y
Legislature of Córdoba,Open Parliament Plan,"Following OGP’s action plan guidelines, the Legislature of Córdoba developed a process of co-creation with representatives from universities, civil society organisations and other community members to strengthen democracy and gain public trust. The plan set a series of commitments and initiatives that work towards a more inclusive and open Legislature.",https://legislaturacba.gob.ar/politica-de-parlamento-abierto/,Open Government,Argentina,Spanish,Ongoing,Legis-Cordoba.svg,openparlamentplan,Y
Legislature of Córdoba,Open Data Portal,"The Open Data Portal is an online platform that stores information and data regarding the Legislature of Córdoba’s operations, published in three-star format to be freely used, reused and redistributed. It works as a meeting point between the legislative power, public and private institutions, the citizenry and web developers.",https://legislaturacba.gob.ar/portal-de-datos-abiertos/,"Open Data,Open Government Data",Argentina,Spanish,Ongoing,Legis-Cordoba.svg,portal-de-datos-abiertos,Y
Open Data Armenia,Common Data Index,"This is a transitional repository to create a registry of all existing open data portals and repositories.This is the first pillar of the open search engine project. Other pillars include: * registry of all catalogs (this one), * datasets raw metadata, * database unified dataset, * search index and search engine, * datasets backup and file cache. This project was inspired by Re3Data and Fairsharing projects. The key difference is the focus on open data as a broad topic, not just open research data. The final version of this repository will be reorganized as a database with publicly available open API and bulk data dumps.",https://github.com/commondataio/dataportals-registry,Open Data,Global,English,Ongoing,open-data-armenia.png,common-data-index,
Dataful,Open Climate Data,"The Open Climate data-kit has been built to provide journalists’ and researchers’ climate data in readily accessible format. On this platform you can access and download time series data and graphs on : (a) temperature, (b) rainfall, (c) river water flow, (d) cropland, (e) forest, and (f) climate induced disaster. For most components the data covers a time range from 1986-2021. Dataful has curated the data from PDF files published by The Bangladesh Bureau of Statistics.",https://dataful.xyz/climate/,"Open Climate,Open Data,Climate Data",Bangladesh,"English,Bangla",Ongoing,open-climate-logo.png,open-climate-bangladesh,Y
Linux Foundation,Open Source for Climate - Transition tool,"Open Source for Climate (OS-C) is a project from Linux Foundation establishing an Open Source collaboration community to build a data and software platform that will dramatically boost global capital flows into climate change mitigation and resilience.Within OS-C, Transition Risk is a project for an open source Integrated Assessment Model that would provide an open, transparent, auditable and reproductible model for energy and climate transition, with the ambition to incorporate all recent improvements not yet integrated in classical IPCC models.",https://os-climate.org/,"Open Climate,Open Data,Climate Data",France,"English, French, German",Ongoing,Linux_Foundation_logo.png,open-climate-transition-tool,Y
Universidade Federal da Bahia - UFBA,Laboratório de Dados Abertos Governamentais da Educação,"O LABDAGE é uma plataforma, criada com o propósito de construir, disseminar e expandir o conhecimento acerca dos dados educacionais abertos disponibilizados pelo Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP). Nossa missão consiste em gerar oportunidades para análises fundamentadas em redes complexas, oferecendo uma perspectiva inédita dos panoramas da educação brasileira através dos dados abertos. O projeto visa fomentar instrumentos para o diálogo entre instituições que, possivelmente, compartilham mais similaridades do que imaginam. Juntas, elas podem construir uma rede colaborativa voltada para a promoção de políticas públicas inovadoras e embasadas em evidências.",https://www.labdage.net/,"Open Data,Open Education",Brazil,Portuguese,Ongoing,Brasao_da_UFBA.png,labdage,Y
